n,m,l,S,mean,ci_low,ci_high,std,ci_rel
128,32,2,0.85,0.011802876368165016,0.011742301285266876,0.01185598410665989,3.235651092836633e-05,0.00963178956102945
128,32,2,0.9,0.0059258900582790375,0.005886585917323828,0.005968759302049875,2.2467194867203943e-05,0.013866842603879126
128,32,2,0.95,0.0007713467348366976,0.0007581254467368126,0.0007844750070944428,7.176025974331424e-06,0.034160461395106236
128,32,3,0.85,0.00934783834964037,0.00929347611963749,0.009396606124937534,2.7279236746835522e-05,0.011032497722215387
128,32,3,0.9,0.0038181610871106386,0.0037939208559691906,0.003854651004076004,1.6191233953577466e-05,0.015905601340872304
128,32,3,0.95,0.0004327234928496182,0.00042371294694021344,0.0004417806339915842,4.662980700231856e-06,0.04175342302861679
128,32,4,0.85,0.008281324058771133,0.008236913941800594,0.008325432427227497,2.4971093807835132e-05,0.010688929064809238
128,32,4,0.9,0.003813226940110326,0.0037884691264480352,0.003847390180453658,1.604210956429597e-05,0.01545175646008578
128,32,4,0.95,0.0004327234928496182,0.00042371294694021344,0.0004417806339915842,4.662980700231856e-06,0.04175342302861679
128,4,1,0.85,0.041655562818050385,0.0415683314204216,0.04177141934633255,5.409648656495847e-05,0.004875409481274532
128,4,1,0.9,0.028626475483179092,0.028552168980240822,0.028708258643746376,4.325774352764711e-05,0.00545263295152323
128,4,1,0.95,0.01467121671885252,0.014612366445362568,0.014736532233655453,3.4280095860594884e-05,0.008463223648883309
128,64,1,0.85,0.003726413007825613,0.003686581738293171,0.003776740049943328,2.152837987523526e-05,0.024194395913931438
128,64,1,0.9,0.0016417282167822123,0.0016159953083842993,0.0016690762713551521,1.4003696378495079e-05,0.03233236928514974
128,64,1,0.95,0.0004188158782199025,0.0004043781664222479,0.0004314452817197889,7.225434274005238e-06,0.06462771997228153
128,64,2,0.85,0.0014369378332048655,0.001424118410795927,0.001450041774660349,7.055276000755839e-06,0.018040699649896356
128,64,2,0.9,0.00047421606723219156,0.0004665335873141885,0.0004828493983950466,4.412275757204043e-06,0.03440585886532048
128,64,2,0.95,5.7967128668678924e-05,5.636337664327584e-05,5.955545202596113e-05,8.833275160213816e-07,0.05506699151738468
128,64,3,0.85,0.0009951406391337514,0.0009869192726910114,0.0010048693511635065,5.172444161871681e-06,0.018037730313295454
128,64,3,0.9,0.00026491217431612313,0.0002610280062071979,0.0002687996602617204,2.1185371679166565e-06,0.02933671913940995
128,64,3,0.95,4.3054424168076366e-05,4.203791104373522e-05,4.4328655349090695e-05,6.538409138556744e-07,0.05320578197522373
128,64,4,0.85,0.0009951406391337514,0.0009869192726910114,0.0010048693511635065,5.172444161871681e-06,0.018037730313295454
128,64,4,0.9,0.00026491217431612313,0.0002610280062071979,0.0002687996602617204,2.1185371679166565e-06,0.02933671913940995
128,64,4,0.95,4.3054424168076366e-05,4.203791104373522e-05,4.4328655349090695e-05,6.538409138556744e-07,0.05320578197522373
128,8,1,0.85,0.03884901478886604,0.038759514689445496,0.03895735368132591,5.247833178145811e-05,0.005092509886173913
128,8,1,0.9,0.02620800770819187,0.026134058833122253,0.02628937177360058,3.9936567191034555e-05,0.0059261635683119296
128,8,1,0.95,0.012962196953594685,0.012900720350444317,0.013021107763051987,3.269549415563233e-05,0.009287577795543673
128,8,2,0.9,0.019820470362901688,0.01974393054842949,0.019894041121006012,3.899011426256038e-05,0.007573512122976019
128,8,2,0.95,0.007998062297701836,0.007937940768897533,0.008045152761042118,2.6145933588850312e-05,0.013404745818920536
128,8,3,0.9,0.014895744621753693,0.014835708774626255,0.014965405687689781,3.455257319728844e-05,0.008706977486316277
128,8,3,0.95,0.0062612988986074924,0.006210126914083958,0.006300840526819229,2.4110406229738146e-05,0.014487986311505762
128,8,4,0.9,0.01482773944735527,0.01478145644068718,0.014892184175550938,3.0652405257569626e-05,0.0074676072679108136
128,8,4,0.95,0.005496705882251263,0.005463302135467529,0.005535717122256756,1.874998451967258e-05,0.013174251695556945
