n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
64,32,3,0.9,0.00010520756721496582,0.0015652856349945067,0.9370200566660113
64,32,3,0.95,2.3978829383850098e-05,0.0003919261407852173,0.9423454127655589
64,32,4,0.85,0.00030388322353363037,0.003419625382423401,0.9183879357637404
64,32,4,0.9,6.072018504142761e-05,0.0016097730171680449,0.9636513426327528
64,32,4,0.95,1.5746197998523713e-05,0.0004001587721705437,0.962139913855507
128,2,1,0.85,0.043010343017578126,0.0,0.0
128,2,1,0.9,0.0298090673828125,0.0,0.0
128,2,1,0.95,0.015483516845703125,0.0,0.0
128,2,2,0.85,0.04095093811035156,0.0020594049072265655,0.047881620157851246
128,2,2,0.9,0.027960281372070312,0.0018487860107421865,0.06202092762580594
128,2,2,0.95,0.013598299255371094,0.0018852175903320313,0.12175642065808863
128,2,3,0.85,0.03918089477539063,0.0038294482421874984,0.08903551968005512
128,2,3,0.9,0.02540132629394531,0.004407741088867188,0.1478657829935542
128,2,3,0.95,0.01237001953125,0.003113497314453125,0.20108463377408733
128,2,4,0.85,0.03826005493164063,0.0047502880859374985,0.1104452499715261
128,2,4,0.9,0.02436458740234375,0.00544447998046875,0.18264509622357267
128,2,4,0.95,0.012268364868164062,0.003215151977539063,0.20764998091704914
128,4,1,0.85,0.04166826049804687,0.0,0.0
128,4,1,0.9,0.028629412231445314,0.0,0.0
128,4,1,0.95,0.014676450500488282,0.0,0.0
128,4,2,0.85,0.037365767211914064,0.004302493286132809,0.10325588912775663
128,4,2,0.9,0.024348922729492187,0.004280489501953127,0.14951370525349525
128,4,2,0.95,0.012444080810546874,0.0022323696899414075,0.1521055578027628
128,4,3,0.85,0.033884228515625,0.00778403198242187,0.18680962174523058
128,4,3,0.9,0.02188768615722656,0.006741726074218753,0.23548251775891965
128,4,3,0.95,0.010814036560058594,0.0038624139404296876,0.2631708491301208
128,4,4,0.85,0.03251281127929687,0.00915544921875,0.21972237643995593
128,4,4,0.9,0.020325166931152345,0.00830424530029297,0.29005992973798966
128,4,4,0.95,0.010361882934570313,0.004314567565917969,0.2939789539558236
128,8,1,0.85,0.03884492309570312,0.0,0.0
128,8,1,0.9,0.026234317626953125,0.0,0.0
128,8,1,0.95,0.012968658752441407,0.0,0.0
128,8,2,0.85,0.031484511108398436,0.007360411987304687,0.18948195544552043
128,8,2,0.9,0.019802743225097657,0.006431574401855468,0.24515882186497856
128,8,2,0.95,0.008033192443847656,0.004935466308593751,0.3805687544723642
128,8,3,0.85,0.02763928527832031,0.011205637817382812,0.28847110315485053
128,8,3,0.9,0.014877931213378907,0.011356386413574218,0.43288285882102273
128,8,3,0.95,0.0062694413757324215,0.0066992173767089856,0.5165697937304294
128,8,4,0.85,0.02416463623046875,0.014680286865234371,0.3779203482799081
128,8,4,0.9,0.013599793395996094,0.01263452423095703,0.4816029298195401
128,8,4,0.95,0.004405377349853515,0.008563281402587893,0.6603058624683001
128,16,1,0.85,0.03317962219238281,0.0,0.0
128,16,1,0.9,0.021626324462890624,0.0,0.0
128,16,1,0.95,0.009771672058105469,0.0,0.0
128,16,2,0.85,0.022487450561523438,0.010692171630859372,0.32225115671491944
128,16,2,0.9,0.012063460083007812,0.009562864379882812,0.4421862992156651
128,16,2,0.95,0.003738365173339844,0.006033306884765625,0.6174283018187332
128,16,3,0.85,0.0181519677734375,0.01502765441894531,0.4529181897193294
128,16,3,0.9,0.009105980377197266,0.012520344085693358,0.57893999080507
128,16,3,0.95,0.0030039594268798826,0.006767712631225586,0.6925849118741004
