n,m,l,sparsity,seed,final_loss,compression_ratio,top1_var,top2_var,top4_var,tophalf_var,gini_concentration,effective_dim,effective_dim_ratio,linearity_score,mse_full,mse_linear,nonlinear_gain
64,32,1,0.1,2,0.01823279172182083,2.0,0.05315788462758064,0.10373292863368988,0.18798914551734924,0.6169344186782837,-0.12739837169647217,31.132089614868164,0.9728778004646301,0.9961931328289211,0.017269816249608994,0.017211196944117546,-0.0034058799991061855
64,32,2,0.1,0,0.023082937225699426,2.0,0.06902898102998734,0.1300622969865799,0.23503968119621277,0.6772018074989319,-0.21760410070419312,29.618131637573242,0.9255666136741638,0.9968885816633701,0.021944377571344376,0.021916523575782776,-0.0012709124581807819
64,32,2,0.1,1,0.023518819101154803,2.0,0.07481779903173447,0.13999536633491516,0.2578141987323761,0.6943845748901367,-0.24540019035339355,28.97587776184082,0.9054961800575256,0.9970091271679848,0.02320309914648533,0.023179123178124428,-0.0010343772640958148
64,32,2,0.1,2,0.023678039647638798,2.0,0.05554097890853882,0.11094273626804352,0.21498844027519226,0.6955423951148987,-0.21389120817184448,29.791715621948242,0.9309911131858826,0.997060306603089,0.023205766454339027,0.023179637268185616,-0.001127246927060643
64,32,3,0.1,0,0.026705771908164023,2.0,0.12682607769966125,0.19163762032985687,0.2843974828720093,0.7248698472976685,-0.2972928285598755,27.0803165435791,0.8462598919868469,0.9956288510002196,0.026445623487234116,0.026434337720274925,-0.0004269357079892794
64,32,3,0.1,1,0.027621200270950795,2.0,0.08356794714927673,0.16485992074012756,0.30121612548828125,0.7519634962081909,-0.3348623514175415,26.624300003051758,0.8320093750953674,0.9948248504661024,0.02735743671655655,0.027349481359124184,-0.00029087771059081854
64,32,3,0.1,2,0.028003759682178497,2.0,0.08682345598936081,0.15209871530532837,0.27187663316726685,0.7557874917984009,-0.31973719596862793,27.210163116455078,0.8503175973892212,0.9955031774006784,0.027687503024935722,0.02768603339791298,-5.308187239401669e-05
64,32,4,0.1,0,0.029326047152280807,2.0,0.11048271507024765,0.1955895721912384,0.2967049479484558,0.7720595598220825,-0.3523666262626648,25.855798721313477,0.8079937100410461,0.989645466208458,0.02939603477716446,0.02941814623773098,0.00075162632178019
64,32,4,0.1,1,0.02941531591117382,2.0,0.11022745072841644,0.18849609792232513,0.3193748891353607,0.7992174029350281,-0.387712299823761,25.072860717773438,0.7835268974304199,0.9930753097869456,0.028984036296606064,0.028983764350414276,-9.382704560830694e-06
64,32,4,0.1,2,0.029183877035975456,2.0,0.12824374437332153,0.19526682794094086,0.31402111053466797,0.785563051700592,-0.3720148205757141,25.261486053466797,0.7894214391708374,0.9915177030488849,0.028494346886873245,0.02850959077477455,0.0005346931379970086
