n,m,l,sparsity,compression_ratio,linearity_score,nonlinear_gain,mse_full,mse_linear,top1_variance,seed
64,16,2,0.1,4.0,0.9966231824364513,-0.0006292440214663409,0.0260773878544569,0.026060989126563072,0.2717105448246002,1
64,16,2,0.1,4.0,0.9955027597025037,-0.0008902463747529568,0.025326557457447052,0.025304030627012253,0.21250790357589722,2
64,24,2,0.1,2.6666666666666665,0.9955236660316586,-0.001176134360443637,0.023962613195180893,0.023934463039040565,0.29017776250839233,0
64,24,2,0.1,2.6666666666666665,0.9957228749990463,-0.0010201411566896498,0.025198940187692642,0.025173259899020195,0.3138776123523712,1
64,24,2,0.1,2.6666666666666665,0.9967037176247686,-0.0010043164950001575,0.024429703131318092,0.024405192583799362,0.3511933982372284,2
64,32,2,0.1,2.0,0.9958438323810697,-0.001186426116961729,0.02356480062007904,0.02353687584400177,0.33391958475112915,0
64,32,2,0.1,2.0,0.9956671367399395,-0.0010611786438586757,0.024840442463755608,0.02481411024928093,0.29570847749710083,1
64,32,2,0.1,2.0,0.9961065503302962,-0.001033856630173624,0.02432573400437832,0.02430061064660549,0.34792256355285645,2
64,4,2,0.15,16.0,0.9910100754350424,0.00023739799375786208,0.04089977219700813,0.04090948402881622,0.3527602255344391,0
64,4,2,0.15,16.0,0.9929661606438458,0.0005850374586912744,0.04219254478812218,0.04221724346280098,0.33024269342422485,1
64,4,2,0.15,16.0,0.994022676255554,0.00028194200798713643,0.041582681238651276,0.041594408452510834,0.34040331840515137,2
64,6,2,0.15,10.666666666666666,0.9933977592736483,-0.00010118652494491748,0.0398021899163723,0.03979816287755966,0.252966970205307,0
64,6,2,0.15,10.666666666666666,0.9928007512353361,9.266038051324251e-05,0.04088336601853371,0.04088715463876724,0.27713707089424133,1
64,6,2,0.15,10.666666666666666,0.9933187202550471,-0.00045621974426583863,0.0403154194355011,0.04029703512787819,0.3159503638744354,2
64,8,2,0.15,8.0,0.9962538571562618,-0.00032176853899371305,0.03839190676808357,0.03837955743074417,0.27641403675079346,0
64,8,2,0.15,8.0,0.9955285643227398,-0.00023847950615802274,0.03963993862271309,0.03963048756122589,0.25206491351127625,1
64,8,2,0.15,8.0,0.9971724192146212,-0.0004572245782120762,0.039379119873046875,0.039361122995615005,0.3535003662109375,2
64,12,2,0.15,5.333333333333333,0.9959296206943691,-0.0006384578819324244,0.03727913647890091,0.03725535050034523,0.37722212076187134,0
64,12,2,0.15,5.333333333333333,0.9967660275287926,-0.0004918865166881878,0.03828000649809837,0.038261186331510544,0.27635636925697327,1
64,12,2,0.15,5.333333333333333,0.9962729655671865,-0.00035937983918499195,0.038243114948272705,0.03822937607765198,0.31513386964797974,2
